text;url;description
Klimastrategie Kanton Basel-Stadt;https://www.pd.bs.ch/dam/jcr:c742f35c-ef12-43ed-8bc3-65ea6b1a85c9/20231122_Klimastrategie_WEB.pdf; Klimastrategie des Kantons Basel-Stadt vom 1. Januar 2019 - Die Klimastrategie des Kantons Basel-Stadt zeigt auf, wie die Treibhausgasemissionen bis 2050 um 75 Prozent gegenüber 1990 reduziert werden können. Sie ist ein wichtiger Baustein der Energiepolitik des Kantons Basel-Stadt.
Energiegesetz BS (EnG);https://www.gesetzessammlung.bs.ch/app/de/texts_of_law/772.100; Energiegesetzt des Kantons Basel-Stadt vom 16. November 2011
Energiegesetzt der Schweiz;https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2017/762/20210101/de/pdf-a/fedlex-data-admin-ch-eli-cc-2017-762-20210101-de-pdf-a.pdf; Energiegesetzt des Bundes vom 30. September 2016
Langfristige Klimastrategie des Bundes;https://www.bafu.admin.ch/bafu/de/home/themen/klima/klimawandel--frueher--und-heute.html; Klimastrategie des Bundes 2050 vom 28. August 2019 - Das Übereinkommen von Paris fordert die Staaten auf, eine langfristige Klimastrategie zu erarbeiten. Die Strategie für die Schweiz zeigt auf, wie das Ziel von Netto-Null Treibhausgasemissionen bis 2050 erreicht werden kann.
Klimastrategie Kanton Zürich;https://www.zh.ch/de/umwelt-tiere/klima/langfristige-klimastrategie.html;Die Langfristige Klimastrategie gibt die Klimaziele des Kantons Zürich vor und benennt die strategischen Handlungsbereiche im Klimaschutz und bei der Anpassung an den Klimawandel.
Klimastrategie-Ziele von Europa;https://climate.ec.europa.eu/eu-action/climate-strategies-targets_de;Klimaschutz: Strategien und Ziele von Europa
Klimadashboard.de; https://klimadashboard.de/; Interaktive Grafiken zur Klimakreise in Deutschland. Ursachen, Auswirkungen Einordnungen
Interaktiver Atlas des IPCC; https://interactive-atlas.ipcc.ch/; A novel tool for flexible spatial and temporal analyses of much of the observed and projected climate change information underpinning the Working Group I contribution to the Sixth Assessment Report, including regional synthesis for Climatic Impact-Drivers (CIDs).
Klimadaten bs; https://lcalmbach-climate-bs-app-c6nya9.streamlit.app/;Klimadaten der Stadt Basel basierend auf Daten des Opendataportals data.bs
IMF Dashboard;https://climatedata.imf.org/pages/country-data;Climate Change Indicators Dashboard mit weltweiten Daten
KlimaOslo;https://www.klimaoslo.no/;Homepage Klimastrategie der Stadt Oslo
Climate and Energy Strategy for Oslo;https://www.klimaoslo.no/wp-content/uploads/sites/88/2018/06/Climate-and-Energy-Strategy-2016-English.pdf;Climate and Energy Strategy for Oslo Adopted by the City Council in Oslo 22.06.2016 (Proposition 195/16)
Klimacharta NWRK;https://www.regbas.ch/de/assets/File/downloads/NWRK_Klimacharta-D_20231215.pdf;Klimacharta der Nordwestschweizer Regierungskonferenz
Circular economy action plan;https://environment.ec.europa.eu/strategy/circular-economy-action-plan_en;The European Commission adopted the new circular economy action plan (CEAP) in March 2020. It is one of the main building blocks of the European Green Deal, Europe’s new agenda for sustainable growth
Denmark Global Climate Action Strategy;https://um.dk/en/foreign-policy/new-climate-action-strategy;The Danish Government has launched the Global Climate Action Strategy ‘A Green and Sustainable World’
Kopenhagen CPH 2025 Climate Plan;https://urbandevelopmentcph.kk.dk/climate;Copenhagen aims to be the world’s first carbon-neutral capital city by 2025
Climate Strategies #COP 28;https://climatestrategies.org/;At COP28, we hosted a variety of events and followed negotiations on key topics. Below, you can watch our summary videos, dive into our COP28 blog series and catch up on the recordings from some of our events.